ImageID,Vy
2,258.90472412109375
3,265.99525451660156
4,360.6969451904297
5,363.4318542480469
6,439.78660583496094
7,484.9369812011719
8,541.1686706542969
9,606.0539245605469
16,951.9781494140625
17,106.10504150390625
18,-1000.3257751464844
26,-487.4897003173828
27,-443.05870056152344
28,-423.26271057128906
29,-344.3504333496094
30,-296.97784423828125
31,-230.28717041015625
32,-210.9400177001953
33,-133.1389617919922
34,-121.26571655273438
39,122.46894836425781
40,192.90618896484375
41,191.6228485107422
42,272.8559875488281
43,286.5186309814453
44,343.3074188232422
45,391.6815948486328
46,403.32000732421875
47,477.20191955566406
48,528.2180786132812
65,-612.3422241210938
66,-608.3910369873047
67,-542.2274780273438
68,-481.66282653808594
69,-436.8132019042969
70,-410.6371307373047
71,-341.6363525390625
72,-320.6007385253906
73,-289.01893615722656
74,-205.51918029785156
75,-188.28872680664062
76,-115.87440490722656
77,-111.92699432373047
78,-20.723648071289062
79,-2.5313186645507812
80,26.098365783691406
81,94.39876556396484
82,152.6220703125
83,212.79029846191406
86,340.916748046875
91,580.0529479980469
101,-1001.2522888183594
102,-928.238525390625
103,-949.5259094238281
108,-567.5978851318359
109,-573.0738830566406
110,-460.6260681152344
113,-333.5893249511719
114,-274.49615478515625
115,-224.83200073242188
116,-174.24362182617188
117,-157.46829986572266
118,-63.378753662109375
119,-40.730552673339844
120,18.103065490722656
121,45.728187561035156
122,103.48068237304688
123,158.7883758544922
124,184.53346252441406
125,253.582763671875
126,289.4322967529297
127,330.91529846191406
128,370.0584411621094
129,454.8552703857422
130,460.1655578613281
131,503.33702087402344
132,579.1678619384766
133,630.3366851806641
134,645.0123596191406
147,-716.81396484375
148,-698.0587005615234
149,-611.0263824462891
150,-590.0498199462891
151,-545.1663208007812
152,-460.6736755371094
153,-461.30859375
154,-350.6659698486328
155,-344.43363189697266
156,-307.8559112548828
157,-233.86493682861328
158,-190.25997161865234
159,-157.0071029663086
162,-5.7492828369140625
163,56.15375518798828
164,76.49471282958984
165,158.61751556396484
166,165.19500732421875
167,249.17816162109375
168,285.8137893676758
169,325.66944122314453
170,385.21602630615234
171,417.16529846191406
172,489.8789978027344
173,521.8405151367188
174,589.3931579589844
175,619.7186279296875
192,-544.1610717773438
193,-537.1714782714844
194,-450.7379150390625
195,-400.31089782714844
196,-350.9161376953125
197,-308.3997344970703
198,-263.1310272216797
199,-171.88018798828125
200,-181.80496215820312
201,-104.56031799316406
202,-54.876708984375
203,-14.018898010253906
204,36.649017333984375
205,66.8386459350586
206,129.0212631225586
207,172.5783920288086
208,228.22471618652344
209,264.99114990234375
210,339.46083068847656
