image_ID,Speed
1,0.0
2,385.125732421875
3,382.31048583984375
4,389.0679931640625
5,383.42376708984375
6,398.3001708984375
7,376.1663818359375
8,364.2425537109375
9,373.157958984375
10,373.157958984375
11,373.157958984375
12,373.157958984375
13,373.157958984375
14,373.157958984375
15,418.61297607421875
16,367.68585205078125
17,-26.25732421875
18,-472.5933837890625
19,-472.5933837890625
20,-472.5933837890625
21,-472.5933837890625
22,-472.5933837890625
23,-472.5933837890625
24,-472.5933837890625
25,-223.839111328125
26,-397.294921875
27,-352.16217041015625
28,-410.76416015625
29,-360.4193115234375
30,-382.2857666015625
31,-360.83221435546875
32,-358.65234375
33,-362.61749267578125
34,-355.90576171875
35,-355.90576171875
36,-355.90576171875
37,-355.90576171875
38,-323.5235595703125
39,-337.65838623046875
40,-333.75
41,-336.2054443359375
42,-333.046875
43,-322.54669189453125
44,-323.1170654296875
45,-319.64996337890625
46,-319.061279296875
47,-312.28546142578125
48,-312.3138427734375
49,-312.3138427734375
50,-317.7433776855469
51,-317.7433776855469
52,-317.7433776855469
53,-317.7433776855469
54,-317.7433776855469
55,-317.7433776855469
56,-137.40875244140625
57,-137.40875244140625
58,-137.40875244140625
59,-137.40875244140625
60,-137.40875244140625
61,-137.40875244140625
62,-137.40875244140625
63,-137.40875244140625
64,3426.580810546875
65,397.73345947265625
66,378.44329833984375
67,405.09063720703125
68,389.20166015625
69,387.56927490234375
70,365.4730224609375
71,385.513916015625
72,384.818115234375
73,397.9010009765625
74,380.72662353515625
75,366.47369384765625
76,388.46832275390625
77,382.98980712890625
78,381.785888671875
79,391.50421142578125
80,384.854736328125
81,376.0528564453125
82,396.961669921875
83,387.82745361328125
84,387.82745361328125
85,393.13385009765625
86,399.9114990234375
87,399.9114990234375
88,365.08026123046875
89,365.08026123046875
90,439.80560302734375
91,398.64349365234375
92,398.64349365234375
93,398.64349365234375
94,398.64349365234375
95,398.64349365234375
96,398.64349365234375
97,398.64349365234375
98,484.92645263671875
99,484.92645263671875
